scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,finite_interval_fraction_mean,finite_interval_fraction_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs
cross_source_calibrated_cp,hust,luh,hust,random_forest,100,0.9,none,,,0.29245283018867924,0.07398295821395341,0.6075471698113207,0.07398295821395343,0.21535366220309796,0.06577071340421456,0.38406899229909797,0.07702181593782896,1.0,0.0,1056.051235437761,261.3987285165272,1056.051235437761,261.39872851652717,7974.867778919894,1144.966358725062,802.9386965747733,61.79503142011657,95.12961737716599,3.138740030322616,-3.9213920719683486,0.6342407413476525,528.0256177188805,130.69936425826305,1.0,,,,,0.0,0.0,0.12571428571428572,0.12388276222102171,0.76,0.10419761445034549,0.0,0.0,0.5849056603773585,0.14796591642790682,0.0,0.0,0.06758198857654182,0.0,0.45558436027271504,0.14682272909443872,0.7027507737425892,0.12912836972789374,0.5849056603773585,0.14796591642790682,451.0,0.0,53.0,0.0,12.0,106.0,53.0,0.0,53.0,0.0,5
cross_source_calibrated_cp,hust,luh,hust,random_forest,100,0.95,none,,,0.29245283018867924,0.07398295821395341,0.6575471698113207,0.07398295821395338,0.21535366220309796,0.06577071340421456,0.38406899229909797,0.07702181593782896,1.0,0.0,1056.0512354377604,261.3987285165276,1056.0512354377606,261.39872851652757,14893.684322402021,2507.2742382258916,802.9386965747735,61.79503142011729,95.12961737716599,3.1387400303226336,-3.921392071968351,0.6342407413476586,inf,,0.0,,,,,0.0,0.0,0.12571428571428572,0.12388276222102171,0.76,0.10419761445034549,0.0,0.0,0.5849056603773585,0.14796591642790682,0.0,0.0,0.06758198857654182,0.0,0.45558436027271504,0.14682272909443872,0.7027507737425892,0.12912836972789374,0.5849056603773585,0.14796591642790682,451.0,0.0,53.0,0.0,12.0,106.0,53.0,0.0,53.0,0.0,5
cross_source_calibrated_cp,hust,matr,hust,random_forest,100,0.9,none,,,0.20310077519379846,0.09244003215977578,0.6968992248062016,0.09244003215977578,0.14479761661120832,0.07932027081534862,0.27857517167326357,0.10022188725140947,1.0,0.0,1056.0512354377593,261.3987285165258,1056.0512354377595,261.39872851652575,7349.506639638322,1948.6995043592237,795.3054170953948,17.990226890804475,73.45772933635946,0.9928635423579845,-4.554547789909189,0.22778347132651602,528.0256177188805,130.69936425826307,1.0,,,,,0.004651162790697674,0.010400316174417626,0.046511627906976744,0.03288868749704872,0.5581395348837209,0.23716369830664116,0.01875,0.027950849718747374,0.38461538461538464,0.15689290811054724,0.006636667948557978,0.010696799260405931,0.0853639896020171,0.042188445902860854,0.2807071922892711,0.14181581022252043,0.5014008534006189,0.1544843651903506,0.36586538461538465,0.13031950382395982,740.0,0.0,53.0,0.0,12.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,hust,matr,hust,random_forest,100,0.95,none,,,0.20310077519379846,0.09244003215977578,0.7468992248062014,0.09244003215977575,0.14479761661120832,0.07932027081534862,0.27857517167326357,0.10022188725140947,1.0,0.0,1056.051235437761,261.39872851652456,1056.051235437761,261.39872851652456,13642.962043838857,4155.153279175475,795.3054170953952,17.99022689080427,73.45772933635949,0.9928635423579664,-4.5545477899091935,0.22778347132651253,inf,,0.0,,,,,0.004651162790697674,0.010400316174417626,0.046511627906976744,0.03288868749704872,0.5581395348837209,0.23716369830664116,0.01875,0.027950849718747374,0.38461538461538464,0.15689290811054724,0.006636667948557978,0.010696799260405931,0.0853639896020171,0.042188445902860854,0.2807071922892711,0.14181581022252043,0.5014008534006189,0.1544843651903506,0.36586538461538465,0.13031950382395982,740.0,0.0,53.0,0.0,12.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,hust,sandia,hust,random_forest,100,0.9,none,,,0.028000000000000004,0.017888543819998316,0.8720000000000001,0.017888543819998267,0.006954401487111783,0.007636490146610197,0.11639773209477881,0.025587988186288928,1.0,0.0,1056.0512354377604,261.3987285165244,1056.0512354377606,261.39872851652444,15231.186657308595,1720.747705535971,1227.7132756099004,29.16020564572087,126.32792717799268,1.0799844606155216,-0.37235192437565795,0.058035787785628325,528.0256177188812,130.69936425826356,1.0,,,,,0.0,0.0,0.0,0.0,0.08235294117647059,0.052613364176465637,0.0,0.0,0.05600000000000001,0.03577708763999663,0.0,0.0,0.1331922509390484,0.0,0.014010621102470533,0.015461040697462245,0.21626409773140445,0.04656267291290151,0.05600000000000001,0.03577708763999663,282.0,0.0,53.0,0.0,12.0,50.0,25.0,0.0,25.0,0.0,5
cross_source_calibrated_cp,hust,sandia,hust,random_forest,100,0.95,none,,,0.028000000000000004,0.017888543819998316,0.9219999999999999,0.017888543819998326,0.006954401487111783,0.007636490146610197,0.11639773209477881,0.025587988186288928,1.0,0.0,1056.0512354377615,261.39872851652814,1056.0512354377618,261.39872851652814,29406.32207917939,3701.4997710665684,1227.7132756099004,29.160205645720946,126.32792717799266,1.0799844606155242,-0.3723519243756582,0.05803578778562885,inf,,0.0,,,,,0.0,0.0,0.0,0.0,0.08235294117647059,0.052613364176465637,0.0,0.0,0.05600000000000001,0.03577708763999663,0.0,0.0,0.1331922509390484,0.0,0.014010621102470533,0.015461040697462245,0.21626409773140445,0.04656267291290151,0.05600000000000001,0.03577708763999663,282.0,0.0,53.0,0.0,12.0,50.0,25.0,0.0,25.0,0.0,5
cross_source_calibrated_cp,luh,hust,luh,gaussian_process,100,0.9,none,,,0.0,0.0,0.9,0.0,0.0,0.0,0.047518425282434044,0.0,1.0,0.0,622.8405289996995,100.38293395144748,622.8405289996994,100.38293395144741,16122.972540500783,814.4497086141178,1086.4268650749036,5.343425568729407,112.90433722997155,0.8980149369676995,-15.709829120135328,0.15464753285585497,311.4202644998497,50.19146697572371,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918098682255839,0.0,0.0,0.0,0.08966685370757137,0.0,0.0,0.0,1513.0,0.0,74.0,0.0,16.0,77.0,38.0,0.0,39.0,0.0,5
cross_source_calibrated_cp,luh,hust,luh,gaussian_process,100,0.95,none,,,0.0,0.0,0.95,0.0,0.0,0.0,0.047518425282434044,0.0,1.0,0.0,622.8405289996995,100.38293395144748,622.8405289996994,100.38293395144741,31623.104552001838,1729.0574220142182,1086.4268650749036,5.343425568729407,112.90433722997155,0.8980149369676995,-15.709829120135328,0.15464753285585497,inf,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918098682255839,0.0,0.0,0.0,0.08966685370757137,0.0,0.0,0.0,1513.0,0.0,74.0,0.0,16.0,77.0,38.0,0.0,39.0,0.0,5
cross_source_calibrated_cp,luh,matr,luh,gaussian_process,100,0.9,none,,,0.4790697674418604,0.04466623346011763,0.42093023255813955,0.04466623346011763,0.3949879066515175,0.04272474913352966,0.5643621332536541,0.04402553485495191,1.0,0.0,622.8405289996994,100.38293395144746,622.8405289996994,100.38293395144741,4010.0792217832654,390.4624389951764,389.0667021914775,4.84636786441135,56.48369371576043,1.0684683905102812,-1.075523000424735,0.030762311880722266,311.4202644998497,50.19146697572371,1.0,,,,,0.9953488372093023,0.010400316174417652,0.4418604651162791,0.1241520726980385,0.0,0.0,0.95625,0.08149003006503312,0.009230769230769232,0.020640627484613445,0.8846822594541971,0.10537715628314535,0.976148285984868,0.04866282070036537,0.0031639680827025172,0.0070748477115625055,0.07006891958496313,0.03190285001545224,0.9470192307692308,0.07782702048995065,740.0,0.0,74.0,0.0,16.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,luh,matr,luh,gaussian_process,100,0.95,none,,,0.4790697674418604,0.04466623346011763,0.4709302325581395,0.0446662334601176,0.3949879066515175,0.04272474913352966,0.5643621332536541,0.04402553485495191,1.0,0.0,622.8405289996994,100.38293395144746,622.8405289996994,100.38293395144741,7397.3179145668255,880.7228585371133,389.0667021914775,4.84636786441135,56.48369371576043,1.0684683905102812,-1.075523000424735,0.030762311880722266,inf,,0.0,,,,,0.9953488372093023,0.010400316174417652,0.4418604651162791,0.1241520726980385,0.0,0.0,0.95625,0.08149003006503312,0.009230769230769232,0.020640627484613445,0.8846822594541971,0.10537715628314535,0.976148285984868,0.04866282070036537,0.0031639680827025172,0.0070748477115625055,0.07006891958496313,0.03190285001545224,0.9470192307692308,0.07782702048995065,740.0,0.0,74.0,0.0,16.0,129.0,64.0,0.0,65.0,0.0,5
