scenario,source,target,calibration_domain,model,n_cycles,seed,repeat,k_target,k_adapter,n_train,n_adapter,n_calibration,n_test,adapter_type,adapter_slope,adapter_intercept,confidence_level,alpha,quantile_rank,q_hat,finite_q,covered_count,coverage,coverage_gap,coverage_wilson95_lower,coverage_wilson95_upper,mean_width,median_width,winkler_mean,MAE,SMAPE,R2,n_short,coverage_short,n_mid,coverage_mid,n_long,coverage_long,n_short_life,coverage_short_life,coverage_short_life_wilson95_lower,coverage_short_life_wilson95_upper,n_long_life,coverage_long_life,coverage_long_life_wilson95_lower,coverage_long_life_wilson95_upper,short_long_coverage_gap,lifetime_split_threshold
within_split_cp,matr,matr,matr,catboost,100,42,,,,89,0,20,20,none,,,0.9,0.09999999999999998,19,633.4154228868251,True,20,1.0,0.09999999999999998,0.8388748419471808,1.0,1266.83084577365,1266.8308457736503,1266.83084577365,144.0941219097393,20.91515589881133,0.6803462135421896,7,1.0,6,1.0,7,1.0,10,1.0,0.7224672001371109,1.0,10,1.0,0.7224672001371109,1.0,0.0,745.0
within_split_cp,matr,matr,matr,catboost,100,42,,,,89,0,20,20,none,,,0.95,0.050000000000000044,20,709.9133411616066,True,20,1.0,0.050000000000000044,0.8388748419471808,1.0,1419.826682323213,1419.8266823232132,1419.826682323213,144.0941219097393,20.91515589881133,0.6803462135421896,7,1.0,6,1.0,7,1.0,10,1.0,0.7224672001371109,1.0,10,1.0,0.7224672001371109,1.0,0.0,745.0
within_split_cp,matr,matr,matr,random_forest,100,42,,,,89,0,20,20,none,,,0.9,0.09999999999999998,19,449.96620247286,True,19,0.95,0.04999999999999993,0.763868806553258,0.9911185511992047,899.9324049457216,899.9324049457218,1008.4442573218208,130.33322339480006,20.338744186322838,0.7115236013118534,7,1.0,6,1.0,7,0.8571428571428571,10,1.0,0.7224672001371109,1.0,10,0.9,0.5958499732047616,0.982123786904927,0.09999999999999998,745.0
within_split_cp,matr,matr,matr,random_forest,100,42,,,,89,0,20,20,none,,,0.95,0.050000000000000044,20,712.8314014901115,True,20,1.0,0.050000000000000044,0.8388748419471808,1.0,1425.6628029802275,1425.6628029802275,1425.6628029802275,130.33322339479955,20.338744186322792,0.7115236013118532,7,1.0,6,1.0,7,1.0,10,1.0,0.7224672001371109,1.0,10,1.0,0.7224672001371109,1.0,0.0,745.0
within_split_cp,matr,matr,matr,catboost,100,123,,,,89,0,20,20,none,,,0.9,0.09999999999999998,19,697.7135350612382,True,19,0.95,0.04999999999999993,0.763868806553258,0.9911185511992047,1395.4270701224766,1395.4270701224764,1518.6114125978806,188.13212812076384,20.93367896335519,0.4236146878497785,7,1.0,6,1.0,7,0.8571428571428571,10,1.0,0.7224672001371109,1.0,10,0.9,0.5958499732047616,0.982123786904927,0.09999999999999998,773.0
within_split_cp,matr,matr,matr,catboost,100,123,,,,89,0,20,20,none,,,0.95,0.050000000000000044,20,817.8078961690737,True,19,0.95,0.0,0.763868806553258,0.9911185511992047,1635.6157923381475,1635.6157923381475,1641.795755073284,188.13212812076384,20.93367896335519,0.4236146878497785,7,1.0,6,1.0,7,0.8571428571428571,10,1.0,0.7224672001371109,1.0,10,0.9,0.5958499732047616,0.982123786904927,0.09999999999999998,773.0
within_split_cp,matr,matr,matr,random_forest,100,123,,,,89,0,20,20,none,,,0.9,0.09999999999999998,19,602.3391105452936,True,18,0.9,0.0,0.6989663547715129,0.9721335187862318,1204.678221090589,1204.6782210905894,1412.7007649825114,207.91737473257672,24.824049048038493,0.46297896166665553,7,1.0,6,1.0,7,0.7142857142857143,10,1.0,0.7224672001371109,1.0,10,0.8,0.4901624715366419,0.9433178485456246,0.19999999999999996,773.0
within_split_cp,matr,matr,matr,random_forest,100,123,,,,89,0,20,20,none,,,0.95,0.050000000000000044,20,843.0438187206381,True,20,1.0,0.050000000000000044,0.8388748419471808,1.0,1686.0876374412776,1686.0876374412778,1686.0876374412776,207.9173747325771,24.824049048038535,0.46297896166665375,7,1.0,6,1.0,7,1.0,10,1.0,0.7224672001371109,1.0,10,1.0,0.7224672001371109,1.0,0.0,773.0
within_split_cp,matr,matr,matr,catboost,100,456,,,,89,0,20,20,none,,,0.9,0.09999999999999998,19,351.826021801346,True,16,0.8,0.09999999999999998,0.5839825677481065,0.9193423374202019,703.6520436026918,703.652043602692,1221.288419607878,196.4443077126967,25.722372313044957,0.5338466487823026,7,0.8571428571428571,6,1.0,7,0.5714285714285714,10,0.9,0.5958499732047616,0.982123786904927,10,0.7,0.3967781474611454,0.8922087325936989,0.20000000000000007,773.0
within_split_cp,matr,matr,matr,catboost,100,456,,,,89,0,20,20,none,,,0.95,0.050000000000000044,20,354.18782853403934,True,17,0.85,0.09999999999999998,0.6395811352592431,0.9476312541037835,708.3756570680786,708.3756570680787,1727.9377785908086,196.4443077126967,25.722372313044957,0.5338466487823026,7,0.8571428571428571,6,1.0,7,0.7142857142857143,10,0.9,0.5958499732047616,0.982123786904927,10,0.8,0.4901624715366419,0.9433178485456246,0.09999999999999998,773.0
