experiment,source,target,model,seed,n_cycles,n_target,alpha,alpha_ci95_low,alpha_ci95_high,alpha_minus_1_boot_p,beta,theil_sen_alpha,theil_sen_beta,theil_sen_R2,huber_alpha,huber_beta,huber_R2,pearson_r,pearson_r_ci95_low,pearson_r_ci95_high,pearson_p,constant_share_of_ss,constant_share_ci95_low,constant_share_ci95_high,raw_MAE,raw_R2,residual_MAE,residual_R2,linear_MAE,linear_R2
matr_to_hust,matr,hust,gaussian_process,42,100,77,1.2525350381752467,-1.7860833063762946,5.372150438877168,0.9933333333333333,620.0196762254262,1.1662725525493205,786.3392696209501,-0.14541881002575874,2.1408054617983576,1.2907950824737988,0.0026171143321752632,0.07334825831458221,-0.11496453240492076,0.2762699824099484,0.5261097215981037,0.8954628484055672,0.863467942674562,0.9229625218807416,795.335334953934,-8.413879630688095,227.0325229353583,0.005161269844106253,227.1839770223689,0.00537996699778287
matr_to_hust,matr,hust,gaussian_process,123,100,77,-0.6116705777406769,-1.3796324814146699,0.03316841444643495,0.0033222591362126247,1927.936315338072,-0.7997266846843413,2045.4974147522616,0.025480690394549255,-0.672702321032126,1967.3206006158555,0.03192148591136845,-0.1802709936108277,-0.37683651453975164,0.007600130601469123,0.11667566781855204,0.8691736396750491,0.8373024923250167,0.9051183721525546,772.8689525873293,-8.143239826783574,249.38828650930571,-0.19311794460058973,223.62837465281734,0.03249763113743509
matr_to_hust,matr,hust,gaussian_process,456,100,77,-0.3281586561347828,-0.677375551019163,-0.0487422750780838,0.0033222591362126247,1738.7347511955609,-0.4679895517297574,1804.8038670767721,0.009663457666640562,-0.3713744509611961,1762.8462911532704,0.0362994218584437,-0.19484847922136164,-0.38101566159882017,-0.02870089064987004,0.08948127729869357,0.8195128720355488,0.7724960639424634,0.8646578126154066,730.2418580130218,-7.681280558665806,290.6564498013821,-0.583942188552687,222.4921122343562,0.03796592985487712
matr_to_hust,matr,hust,gaussian_process,789,100,77,-0.9508288639628806,-2.2204779795700476,0.06379907597967759,0.0033222591362126247,2198.497783679908,-0.7307677373576755,1985.5439416310103,0.001946745119306148,-1.0293887963618626,2254.7041649006314,0.035332930419406106,-0.1888145497690155,-0.38947405690767634,0.012420017818167569,0.1000584874900037,0.8680346858006119,0.8306755749218627,0.8984612233071878,743.9570310514687,-7.48086467571007,240.62899865929836,-0.11442275061761986,223.70557088523304,0.035650934204475626
matr_to_hust,matr,hust,gaussian_process,1011,100,77,-1.6352014450550945,-4.390281501676345,1.154810803419005,0.06,2661.8759324483394,-1.9591063858073126,2847.6406229121403,-0.017196650292472748,-2.029352629525456,2939.768485486499,0.011002934288097621,-0.10950675872319654,-0.27740849475510865,0.06302840548770766,0.3431009874844719,0.885887204521736,0.8515076624743866,0.9150140313008517,772.6330165993162,-7.964420445941036,229.99839439021898,-0.019151737252852685,224.64059966264142,0.011991730206060147
matr_to_sandia,matr,sandia,xgboost,42,100,50,5.709647629783041,1.3933735212049845,12.348461869246544,0.02666666666666667,-2932.1248501609502,1.1076494417753364,-418.01769328695656,-0.1182662501276881,1.1279812284472246,-416.12832089688175,-0.10547135845480726,0.4317915840809231,0.1370610981230192,0.7005477313463683,0.0017418115196729978,0.02833563253984052,5.661467552872669e-05,0.11034802956309697,742.9104004270391,0.04827833477305299,811.9221026477536,0.05958927185157892,720.9366940180136,0.19290414178685245
matr_to_sandia,matr,sandia,xgboost,123,100,50,7.533487652295359,6.393412460068092,8.569021002310652,0.0033222591362126247,-1866.8989331988896,1.9281150428500768,-242.45166496521153,0.294480948721513,7.8839275464135135,-1921.4848218284787,0.8683476792072495,0.9329350859072485,0.8808271350977492,0.9712206633962619,6.209048195675424e-23,0.16117227473604415,0.06593928367952374,0.2699792838814376,514.1490633195139,0.06985819250641068,737.2829693515348,0.21573043351980314,255.20435575479306,0.8747036422306845
matr_to_sandia,matr,sandia,xgboost,456,100,50,3.0024974218463893,0.2973371911279151,6.171528326886003,0.18,-1349.3537083043616,0.5201323778640156,-21.346873692149906,-0.13356644856113586,0.40900969876061005,-4.159451843833459,-0.1833423009949613,0.22158508082127334,0.029061301468288673,0.39806534332892857,0.12198183284795983,0.02565312522478873,5.085441893754594e-05,0.14460625053345763,790.8272356755532,0.024302129809869788,826.1157343379298,0.02725959383626453,799.2010004383035,0.04909994804257001
matr_to_sandia,matr,sandia,xgboost,789,100,50,4.170123997500508,1.0473342336074294,11.048489284874666,0.04666666666666667,-2188.5620808619046,1.0897128175085726,-497.0505226375223,-0.12746498168457654,0.4299615288423937,-7.726676478249739,-0.15249460638396561,0.4094698884404877,0.1462998264408104,0.7526544556413476,0.003148879444657717,0.019438861231034193,3.4280309835293954e-05,0.09068120791852435,771.3701329582717,0.068234763674076,804.0505723672063,0.07077122871837649,698.5338231388289,0.1676655895394653
matr_to_sandia,matr,sandia,xgboost,1011,100,50,1.5692792467834424,-0.44181452258387255,3.3115079153434483,0.6866666666666666,-444.90612530374574,0.2786926018595508,12.595627989822297,-0.23844602488026556,0.3667676728904805,-0.2926829473690277,-0.18908383075737745,0.14003252879307676,-0.04094803438326279,0.29190765333934315,0.332083860083062,0.022431280149657503,3.837491039427044e-05,0.1357392598292873,834.1039784422458,0.01698577735296003,829.8584802521991,0.01702858392266926,823.9075084039356,0.019609109120183765
